Application ID,Applicant Name,Business Name,District,Industry,Department,Approval Type,Investment (₹ Cr),Status,Risk Score,Risk Level,Risk Recommendation,Submitted At
SAH-2026-0001,Applicant 1,Nova Enterprises,Thane,Food Processing,MIDC,Industrial Registration,6.98,Rejected,31,Medium,Additional document verification recommended,2026-07-04
SAH-2026-0002,Applicant 2,Sahyadri Manufacturing,Nanded,Manufacturing,Fire Department,Environmental Clearance,53.84,Query Raised,21,Low,Proceed with standard verification,2026-07-28
SAH-2026-0003,Applicant 3,Nova Industries,Nashik,Renewable Energy,Labour Department,Fire NOC,12.08,Approved,11,Low,Proceed with standard verification,2026-09-14
SAH-2026-0004,Applicant 4,Pragati Solutions,Nanded,Automobile,MIDC,Labour Registration,40.45,Rejected,10,Low,Proceed with standard verification,2026-07-13
SAH-2026-0005,Applicant 5,Pragati Manufacturing,Thane,IT & Software,MIDC,Environmental Clearance,58.09,Submitted,57,Medium,Additional document verification recommended,2026-09-19
SAH-2026-0006,Applicant 6,Sunrise Solutions,Satara,Pharmaceuticals,Pollution Control Board,Fire NOC,26.97,Approved,29,Low,Proceed with standard verification,2026-07-13
SAH-2026-0007,Applicant 7,Maharashtra Manufacturing,Thane,Food Processing,Industries Department,Labour Registration,20.61,Query Raised,37,Medium,Additional document verification recommended,2026-09-16
SAH-2026-0008,Applicant 8,Sahyadri Industries,Kolhapur,Renewable Energy,Labour Department,Factory License,16.22,Query Raised,58,Medium,Additional document verification recommended,2026-07-08
SAH-2026-0009,Applicant 9,Vardhan Foods,Satara,Food Processing,Labour Department,Environmental Clearance,18.87,Query Raised,47,Medium,Additional document verification recommended,2026-07-28
SAH-2026-0010,Applicant 10,Sunrise Manufacturing,Raigad,Pharmaceuticals,Pollution Control Board,Environmental Clearance,38.46,Submitted,9,Low,Proceed with standard verification,2026-09-13
SAH-2026-0011,Applicant 11,Maharashtra Tech,Raigad,IT & Software,Industries Department,Labour Registration,44.89,Rejected,93,High,Priority review and detailed inspection recommended,2026-07-20
SAH-2026-0012,Applicant 12,Shakti Tech,Nagpur,Automobile,Labour Department,Factory License,22.37,Under Review,22,Low,Proceed with standard verification,2026-09-09
SAH-2026-0013,Applicant 13,Maharashtra Manufacturing,Nagpur,Automobile,Fire Department,Industrial Registration,15.32,Approved,13,Low,Proceed with standard verification,2026-08-03
SAH-2026-0014,Applicant 14,Shakti Manufacturing,Kolhapur,Chemicals,MIDC,Factory License,69.72,Approved,37,Medium,Additional document verification recommended,2026-09-06
SAH-2026-0015,Applicant 15,Aarav Industries,Satara,IT & Software,Fire Department,Environmental Clearance,10.07,Rejected,25,Low,Proceed with standard verification,2026-09-11
SAH-2026-0016,Applicant 16,Sunrise Enterprises,Amravati,Textiles,Labour Department,Labour Registration,74.64,Approved,22,Low,Proceed with standard verification,2026-09-06
SAH-2026-0017,Applicant 17,Aarav Enterprises,Thane,IT & Software,Labour Department,Factory License,44.33,Under Review,74,High,Priority review and detailed inspection recommended,2026-08-27
SAH-2026-0018,Applicant 18,Shakti Enterprises,Nagpur,Manufacturing,Labour Department,Factory License,38.8,Approved,29,Low,Proceed with standard verification,2026-09-19
SAH-2026-0019,Applicant 19,Maharashtra Tech,Nanded,Chemicals,Pollution Control Board,Labour Registration,60.66,Under Review,33,Medium,Additional document verification recommended,2026-09-08
SAH-2026-0020,Applicant 20,Pragati Foods,Raigad,Chemicals,MIDC,Factory License,5.02,Approved,11,Low,Proceed with standard verification,2026-08-25
